"breedgroup","breedname","licensecount","avglife"
,"Dog","76653","12.628051706671743"
"Dog","Foundation Stock Service","185","12.823529411764707"
"Dog","Herding","3311","13"
"Dog","Hound","3883","12.567567567567568"
"Dog","Miscellaneous","40","12.7"
"Dog","Mixed","14046","12.985714285714286"
"Dog","Non-Sporting","8032","12.954545454545455"
"Dog","Sporting","5698","12.517241379310345"
"Dog","Terrier","5033","13.545454545454545"
"Dog","Toy","22948","13.75"
"Dog","Unknown","10383","11.5"
"Dog","Working","3094","10.564516129032258"
"Foundation Stock Service","American Bulldog","34","11"
"Foundation Stock Service","American Leopard Hound","1","13.5"
"Foundation Stock Service","Australian Kelpie","17","11.5"
"Foundation Stock Service","Biewer Terrier","3","16"
"Foundation Stock Service","Bolognese","7","13"
"Foundation Stock Service","Catahoula Leopard Dog","58","12"
"Foundation Stock Service","Eurasier","2","14"
"Foundation Stock Service","French Spaniel","3","11"
"Foundation Stock Service","German Longhaired Pointer","2","13"
"Foundation Stock Service","German Spitz","7","14"
"Foundation Stock Service","Hamiltonstovare","1","15.5"
"Foundation Stock Service","Jindo","36","14"
"Foundation Stock Service","Karelian Bear Dog","1","12"
"Foundation Stock Service","Kromfohrlander","2","14"
"Foundation Stock Service","Perro de Presa Canario","6","10"
"Foundation Stock Service","Thai Ridgeback","3","12.5"
"Foundation Stock Service","Treeing Tennessee Brindle","2","11"
"Herding","Australian Cattle Dog","247","14"
"Herding","Australian Shepherd","558","13.5"
"Herding","Bearded Collie","33","13"
"Herding","Belgian Malinois","64","15"
"Herding","Belgian Sheepdog","14","13"
"Herding","Belgian Tervuren","1","13"
"Herding","Berger Picard","4","12.5"
"Herding","Border Collie","403","13.5"
"Herding","Bouvier Des Flandres","14","11"
"Herding","Briard","10","12"
"Herding","Canaan Dog","5","13.5"
"Herding","Cardigan Welsh Corgi","63","13.5"
"Herding","Collie","29","13"
"Herding","Entlebucher Mountain Dog","5","12"
"Herding","Finnish Lapphund","1","13.5"
"Herding","German Shepherd Dog","1190","8.5"
"Herding","Miniature American Shepherd","93","12.5"
