"breedgroup","breedname","licensecount","avgweight"
,"Dog","76653","46.27739421587808"
"Dog","Foundation Stock Service","185","48.779411764705884"
"Dog","Herding","3311","46.793103448275865"
"Dog","Hound","3883","50.972972972972975"
"Dog","Miscellaneous","40","46.5"
"Dog","Mixed","14046","35.785714285714285"
"Dog","Non-Sporting","8032","31.977272727272727"
"Dog","Sporting","5698","51.87931034482759"
"Dog","Terrier","5033","24.12121212121212"
"Dog","Toy","22948","9.3875"
"Dog","Unknown","10383","60"
"Dog","Working","3094","102.85483870967742"
"Foundation Stock Service","American Bulldog","34","80"
"Foundation Stock Service","American Leopard Hound","1","57.5"
"Foundation Stock Service","Australian Kelpie","17","40"
"Foundation Stock Service","Biewer Terrier","3","6"
"Foundation Stock Service","Bolognese","7","7.25"
"Foundation Stock Service","Catahoula Leopard Dog","58","72.5"
"Foundation Stock Service","Eurasier","2","55"
"Foundation Stock Service","French Spaniel","3","55"
"Foundation Stock Service","German Longhaired Pointer","2","67.5"
"Foundation Stock Service","German Spitz","7","25"
"Foundation Stock Service","Hamiltonstovare","1","57.5"
"Foundation Stock Service","Jindo","36","40"
"Foundation Stock Service","Karelian Bear Dog","1","46.5"
"Foundation Stock Service","Kromfohrlander","2","27.5"
"Foundation Stock Service","Perro de Presa Canario","6","97"
"Foundation Stock Service","Thai Ridgeback","3","55"
"Foundation Stock Service","Treeing Tennessee Brindle","2","40"
"Herding","Australian Cattle Dog","247","42.5"
"Herding","Australian Shepherd","558","52.5"
"Herding","Bearded Collie","33","50"
"Herding","Belgian Malinois","64","60"
"Herding","Belgian Sheepdog","14","60"
"Herding","Belgian Tervuren","1","60"
"Herding","Berger Picard","4","60"
"Herding","Border Collie","403","42.5"
"Herding","Bouvier Des Flandres","14","90"
"Herding","Briard","10","77.5"
"Herding","Canaan Dog","5","45"
"Herding","Cardigan Welsh Corgi","63","31.5"
"Herding","Collie","29","62.5"
"Herding","Entlebucher Mountain Dog","5","52.5"
"Herding","Finnish Lapphund","1","43"
"Herding","German Shepherd Dog","1190","70"
"Herding","Miniature American Shepherd","93","30"
"Herding","Norwegian Buhund","1","33"
"Herding","Old English Sheepdog","40","60"
"Herding","Pembroke Welsh Corgi","266","29"
"Herding","Polish Lowland Sheepdog","3","40"
"Herding","Puli","16","30"
"Herding","Pumi","2","25.5"
"Herding","Pyrenean Shepherd","2","22.5"
"Herding","Rough Coat Collie","28","50"
"Herding","Shetland Sheepdog","192","20"
"Herding","Smooth Coat Collie","24","50"
"Herding","Spanish Water Dog","2","40"
"Herding","Swedish Vallhund","1","27.5"
"Hound","Afghan Hound","15","55"
"Hound","American English Coonhound","10","55"
"Hound","American Foxhound","29","65"
"Hound","Basenji","93","23"
"Hound","Basset Hound","181","52.5"
"Hound","Beagle","1307","25"
"Hound","Black and Tan Coonhound","77","87.5"
"Hound","Bloodhound","19","95"
"Hound","Bluetick Coonhound","25","67.5"
"Hound","Borzoi","10","82.5"
"Hound","Cirneco dell","2","21.5"
"Hound","Dachshund","354","24"
"Hound","Dachshund Smooth Coat","488","24"
"Hound","Dachshund Smooth Coat Miniature","294","24"
"Hound","English Foxhound","12","67.5"
"Hound","Grand Basset Griffon Vendeen","1","42.5"
"Hound","Greyhound","143","65"
"Hound","Harrier","8","52.5"
"Hound","Ibizan Hound","9","47.5"
"Hound","Irish Wolfhound","12","112.5"
"Hound","Long Haired Dachshund","117","27"
"Hound","Long Haired Miniature Dachshund","168","11"
"Hound","Norwegian Elkhound","17","51.5"
"Hound","Otterhound","1","97.5"
"Hound","Petit Basset Griffon Vendeen","18","32.5"
"Hound","Pharaoh Hound","26","50"
"Hound","Plott","34","50"
"Hound","Polish Hound","2","60"
"Hound","Portuguese Podengo Pequeno","9","11"
"Hound","Redbone Coonhound","23","57.5"
"Hound","Rhodesian Ridgeback","145","77.5"
"Hound","Saluki","5","52.5"
"Hound","Scottish Deerhound","3","92.5"
"Hound","Treeing Walker Coonhound","53","60"
"Hound","Whippet","88","32.5"
"Hound","Wirehaired Dachshund","39","24"
"Hound","Wirehaired Miniature Dachshund","46","10"
"Miscellaneous","Barbet","3","50"
"Miscellaneous","Dogo Argentino","13","94"
"Miscellaneous","Dutch Shepherd","21","58.5"
"Miscellaneous","Mudi","2","23.5"
"Miscellaneous","Russian Toy","1","6.5"
"Mixed","Afghan Hound Crossbreed","1","50"
"Mixed","Akita Crossbreed","27","100"
"Mixed","American Pit Bull Mix / Pit Bull Mix","2044","60"
"Mixed","American Pit Bull Terrier/Pit Bull","1815","65"
"Mixed","Beagle Crossbreed","627","35"
